Composition,5 Star Deluxe,5 Star,4 Star,3 Star,Others (> 50 rooms),Others (up to 50 rooms),India,
India,64.3,71.2,46.8,74.2,69.8,69.8,67.7,
USA,5.2,3.5,5.5,3,1.8,4.7,4,
Germany,1.8,1.4,2.4,1.6,1,3.3,2.2,
UK,5.00,3.7,9.5,2.6,4,3.9,4.4,
Canada,0.6,1.2,1.2,0.7,1.0,1.0,1.0,
France,0.8,1.3,1.6,1.0,1.9,2.9,2,
Russia,0.6,2.2,10.9,1.3,0.6,1.2,2.1,
China,1.5,2.4,3.2,1.9,2.2,1.9,2.1,
Japan,1.9,1.2,2.2,1.6,1.6,1.2,1.5,
Australia,1.1,1.1,2.1,1.4,0.7,0.8,1.1,
Middle East,1.00,1.6,1.5,0.8,2.1,1.3,1.4,
South Africa,0.3,0.9,0.6,3.4,0.7,0.5,0.9,
Carribean,0,1.1,0.8,0,0.1,0.3,0.4,
Other European Countries,3.8,2.2,3.5,1.6,1.8,1.2,1.9,
SAARC**,1.1,2.1,0.5,1.1,1.4,1.7,1.5,
ASEAN*,1.2,1.7,1.8,1.4,1.8,1.1,1.4,
Other,10.1,1.5,6.0,2.5,7.2,3.3,4.4,
,,,,,,,,
"Source: India Hotel Industry Survey 2020, FHRAI",,,,,,,,
