,Year,World - Number (in million),World - % Change,India - Number (in million),India - % Change,Percentage Share of India,Rank of India
0,2001,683.4,0.0,2.54,-4.2,0.37,51st
1,2002,703.2,2.9,2.38,-6.3,0.34,54th
2,2003,691.0,-1.7,2.73,14.7,0.4,51st
3,2004,762.0,10.3,3.46,26.7,0.45,44th
4,2005,803.4,5.4,3.92,13.3,0.49,43rd
5,2006,846.6,5.4,4.45,13.5,0.53,44th
6,2007,894.0,5.6,5.08,14.2,0.57,41st
7,2008,917.0,2.6,5.28,3.9,0.58,41st
8,2009,883.0,-3.7,5.17,-2.1,0.59,41st
9,2010,948.0,7.4,5.78,11.8,0.61,42nd
10,2011,994.0,4.9,6.31,9.2,0.63,38th
11,2012,1039.0,4.5,6.58,4.3,0.63,41st
12,2013,1087.0,4.6,6.97,5.9,0.64,41st
13,2014,1137.0,4.6,13.11,88.09,1.15,24th
14,2015,1195.0,5.1,13.77,5.0,1.15,24th
15,2016,1241.0,3.8,15.02,9.1,1.21,26th
16,2017,1332.0,7.4,16.81,11.8,1.26,26th
17,2018,1407.0,5.6,17.42,3.6,1.24,22nd
18,2019,1459.0,3.7,17.91,2.8,1.23,23rd
