,year,arrivals,quarter_1,quarter_2,quarter_3,quarter_4
0,2001,2537282,31.3,20.2,23.0,25.5
1,2002,2384364,28.8,18.4,21.1,31.7
2,2003,2726214,27.7,17.6,22.8,31.9
3,2004,3457477,27.8,18.3,21.8,32.1
4,2005,3918610,28.3,18.4,21.4,31.9
5,2006,4447167,28.5,19.2,20.9,31.4
6,2007,5081504,29.7,18.4,20.9,31.0
7,2008,5282603,30.9,19.5,21.7,27.9
8,2009,5167699,27.2,19.3,21.8,31.7
9,2010,5775692,28.3,18.8,21.8,31.1
10,2011,6309222,28.3,19.6,20.9,31.2
11,2012,6577745,29.8,19.1,20.5,30.6
12,2013,6967601,29.4,18.9,20.8,30.9
13,2014,7679099,28.7,19.6,21.5,30.2
14,2015,8027133,28.4,19.5,22.1,30.0
15,2016,8804411,28.4,18.9,22.6,30.0
16,2017,10035803,27.7,20.0,22.1,30.2
17,2018,10557976,29.5,19.2,21.9,29.3
18,2019,10930355,29.1,19.4,21.7,29.9
